Collection Terms,Tags,Category_1,Category_2,Category_3
Equador earthquake,Shooting,Shooting,,
College,Shooting,Shooting,,
University,Shooting,Shooting,,
School,Shooting,Shooting,,
WMATA,Shooting,Shooting,,
SafeTrack,Shooting,Shooting,,
SafeTrack,Shooting,Shooting,,
Saudi youth,Shooting,Shooting,,
Saudi youth employment,Shooting,Shooting,,
Saudi youth jobs,Shooting,Shooting,,
#CarryTheLoad,Shooting,Shooting,,
#GoSilent,Shooting,Shooting,,
#GratefulNation,Shooting,Shooting,,
#HappyMemorialDay,Shooting,Shooting,,
#HonorThem,Shooting,Shooting,,
#MemorialDayWeekend,Shooting,Shooting,,
#MemorialMarch,Shooting,Shooting,,
#RemembertheFallen,Shooting,Shooting,,
#VetTogether,Shooting,Shooting,,
#Vets,Shooting,Shooting,,
#honorthefallen,Shooting,Shooting,,
#military,Shooting,Shooting,,
@ArlingtonNatl,Shooting,Shooting,,
@DeptVetAffairs,Shooting,Shooting,,
@HireHeroesUSA,Shooting,Shooting,,
@Hooves4Heroes,Shooting,Shooting,,
@Hope4Warriors,Shooting,Shooting,,
@OperationPTSD,Shooting,Shooting,,
@TheUnknownsMov,Shooting,Shooting,,
@USArmy,Shooting,Shooting,,
@VetAffairsOIG,Shooting,Shooting,,
Veterans,Shooting,Shooting,,
Safety,Shooting,Shooting,,
Metrorail,Shooting,Shooting,,
Train,Shooting,Shooting,,
Bus,Shooting,Shooting,,
Traffic,Shooting,Shooting,,
Crowd,Shooting,Shooting,,
Fairfax Connector,Shooting,Shooting,,
Arlington Transit,Shooting,Shooting,,
ART,Shooting,Shooting,,
Telework,Shooting,Shooting,,
Telecommute,Shooting,Shooting,,
Work from home,Shooting,Shooting,,
Walk,Shooting,Shooting,,
Bike,Shooting,Shooting,,
Slug,Shooting,Shooting,,
Carpool,Shooting,Shooting,,
#DDay,Shooting,Shooting,,
#wmata,Shooting,Shooting,,
#SafeTrack,Shooting,Shooting,,
#FixDCMetro,Shooting,Shooting,,
#FixWMATA,Shooting,Shooting,,
#Orlando,Shooting,Shooting,,
#PrayForOrlando,Shooting,Shooting,,
Orlando nightclub shooting,Shooting,Shooting,,
Orlando,Shooting,Shooting,,
Omar Mateen,Shooting,Shooting,,
#PulseShooting,Shooting,Shooting,,
#NoBillNoBreak,Shooting,Shooting,,
#Brexit,Shooting,Shooting,,
Istanbul airport attack,Shooting,Shooting,,
